MsgID.GLOBAL_POSITION,1520119362.5984950,-121.9939350,37.4137418,-0.0550000
MsgID.LOCAL_VELOCITY,1520119362.5984950,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520119362.5987980,0.1494383,0.1368008,0.0551047
MsgID.LOCAL_VELOCITY,1520119362.5987980,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520119362.5990160,-121.9939351,37.4137400,-0.0570000
MsgID.LOCAL_VELOCITY,1520119362.5990160,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520119362.5992091,-0.0572827,0.1292571,0.0570164
MsgID.LOCAL_VELOCITY,1520119362.5992091,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520119362.5993972,-121.9939373,37.4137399,-0.0490000
MsgID.LOCAL_VELOCITY,1520119362.5993972,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520119362.5996401,-0.0586215,-0.0627814,0.0490952
MsgID.LOCAL_VELOCITY,1520119362.5996401,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1520119362.5999858,False,False
MsgID.GLOBAL_HOME,1520119362.6009300,-121.9939366,37.4137405,0.0000000
MsgID.GLOBAL_POSITION,1520119362.6011190,-121.9939385,37.4137407,-0.0300000
MsgID.LOCAL_VELOCITY,1520119362.6011190,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520119362.6013200,0.0230696,-0.1754403,0.0308456
MsgID.LOCAL_VELOCITY,1520119362.6013200,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520119362.6015239,-121.9939364,37.4137405,0.0000000
MsgID.LOCAL_VELOCITY,1520119362.6015239,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520119362.6017711,-0.0015651,0.0122934,-0.0009855
MsgID.LOCAL_VELOCITY,1520119362.6017711,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520119362.6019621,-121.9939353,37.4137401,0.0430000
MsgID.LOCAL_VELOCITY,1520119362.6019621,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520119362.6021619,-0.0410170,0.1138903,-0.0432729
MsgID.LOCAL_VELOCITY,1520119362.6021619,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520119362.6023481,-121.9939378,37.4137403,0.0910000
MsgID.LOCAL_VELOCITY,1520119362.6023481,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520119362.6025190,-0.0136529,-0.1132901,-0.0923668
MsgID.LOCAL_VELOCITY,1520119362.6025190,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1520119362.6028070,False,False
MsgID.GLOBAL_HOME,1520119362.6034570,-121.9939366,37.4137405,0.0000000
MsgID.GLOBAL_POSITION,1520119362.6036229,-121.9939383,37.4137417,0.1360000
MsgID.LOCAL_VELOCITY,1520119362.6036229,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520119362.6038611,0.1416062,-0.1516088,-0.1368517
MsgID.LOCAL_VELOCITY,1520119362.6038611,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520119362.8123720,-121.9939377,37.4137423,0.3360000
MsgID.LOCAL_VELOCITY,1520119362.8123720,0.0000000,0.0000000,-1.6400000
MsgID.LOCAL_POSITION,1520119362.8127959,0.4569748,-0.2754384,-0.3435606
MsgID.LOCAL_VELOCITY,1520119362.8127959,-0.0035174,0.0027965,-1.6704520
MsgID.GLOBAL_POSITION,1520119363.0627189,-121.9939367,37.4137418,0.9570000
MsgID.LOCAL_VELOCITY,1520119363.0627189,0.0000000,0.0000000,-2.8700000
MsgID.LOCAL_POSITION,1520119363.0629859,0.4003776,-0.1858246,-0.9570487
